Id,ProductionBudget,DomesticGross,WorldwideGross,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,DomesticDVDSales,DomesticBluRaySales,TotalDomesticVideoSales,OpeningWeekend,Legs,InflAdjDomBO,RunningTime
94,200000000,116601172,219535492,116601172,102934320,219535492,21544455,24333148,45877603,53174303,2.19,158507018,113
95,200000000,108167507,271467507,108167507,163300000,271467507,1599601,4044783,5644384,55043679,1.97,108167512,144
96,200000000,97000759,185895441,97000759,88894682,185895441,,,,32106112,3.02,97000759,123
97,200000000,95850844,407150844,95850844,311300000,407150844,6636158,13264980,19901138,42151256,2.27,98126502,
98,200000000,90759676,336359676,90759676,245600000,336359676,37989207,15218498,53207705,30095259,3.02,124003709,115
99,200000000,68035488,156432918,68035488,88397430,156432918,,,,23253655,2.93,68035488,206
100,200000000,65845974,246356895,65845974,180510921,246356895,8168863,13902509,22071372,32828348,2.01,77491222,114
101,200000000,63973821,240073909,63973821,176100088,240073909,,,,19698228,3.25,63973821,92
102,200000000,61555145,133357601,61555145,71802456,133357601,8657001,11720560,20377561,39119861,1.57,72283705,114
103,200000000,61524375,217917156,61524375,156392781,217917156,,,,20638887,2.98,61524375,158
104,200000000,46801036,169601036,46801036,122800000,169601036,16234221,22994859,39229080,16701957,2.8,52238403,151
105,200000000,45207275,96214128,45207275,51006853,96214128,,,,17473540,2.59,45207275,135
106,200000000,0,69973540,,69973540,69973540,9295003,15069885,24364888,,,,115
107,200000000,0,19220000,,19220000,19220000,,,,,,,140
108,200000000,0,451178,,451178,451178,,,,,,,129
109,195000000,352390543,1123794079,352390543,771403536,1123794079,54155979,59683600,113839579,97852865,3.6,479037835,154
110,195000000,157341749,439241749,157341749,281900000,439241749,2369452,3278186,5647638,61045464,2.58,157341754,127
111,195000000,80101125,409953905,80101125,329852780,409953905,7102540,10139627,17242167,31668375,2.53,96264225,107
112,195000000,65187603,197687603,65187603,132500000,197687603,12916248,13898974,26815222,27202226,2.4,86435711,113
113,190000000,353007020,1511986364,353007020,1158979344,1511986364,32951047,39399295,72350342,147187040,2.4,451413481,137
114,190000000,282709065,715209065,282709065,432500000,715209065,,,,82505391,3.43,282709068,165
115,190000000,228778661,467381584,228778661,238602923,467381584,28457766,52437258,80895024,70165559,3.26,303349804,132
116,190000000,202706711,531861650,202706711,329154939,531861650,23270680,31144262,54414942,66411834,3.05,268687317,115
